epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.156,1.52341,3.93259,0.01516,0.53793,0.43982,0.45602,0.2527,1.54541,2.26974,0.02077,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643
2,405.024,1.59407,2.34246,0.01687,0.585,0.4641,0.47982,0.26616,1.65495,1.99781,0.02468,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383
3,571.774,1.69442,2.25256,0.01861,0.52095,0.36802,0.36298,0.18114,1.92574,2.58506,0.03229,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524
4,729.166,1.78976,2.30012,0.02019,0.39118,0.29969,0.2717,0.11807,2.10329,2.74183,0.03978,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,895.264,1.77172,2.19579,0.01996,0.61164,0.47728,0.49745,0.25096,1.81966,2.08193,0.02788,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1042.37,1.76639,2.12751,0.01962,0.6781,0.49906,0.55636,0.29894,1.77521,1.88472,0.02783,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1190.55,1.72054,2.0266,0.01865,0.68896,0.5209,0.58743,0.32045,1.73473,1.79035,0.02623,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1338.5,1.71263,1.96302,0.01874,0.68832,0.52966,0.58668,0.32815,1.76015,1.74038,0.02732,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1488.04,1.69459,1.91897,0.01841,0.66162,0.55324,0.59506,0.34845,1.6762,1.71335,0.02526,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1691.64,1.67183,1.88283,0.01812,0.73592,0.55116,0.6241,0.36599,1.68338,1.59382,0.02499,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
