epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,463.308,1.47957,2.2392,0.01449,0.65402,0.55324,0.59654,0.35079,1.50453,1.56616,0.02022,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643
2,846.664,1.52997,1.655,0.01582,0.66982,0.51085,0.56047,0.2986,1.73277,1.77856,0.02624,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383
3,1172.93,1.64267,1.81073,0.01756,0.53807,0.46826,0.45566,0.20949,2.01244,2.13969,0.0326,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524
4,1509.63,1.73791,1.95355,0.01924,0.66651,0.48734,0.54482,0.28321,1.84016,1.97769,0.02974,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1854.84,1.70376,1.89217,0.01876,0.70334,0.51023,0.57853,0.30245,1.79518,1.81593,0.02823,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2193.02,1.69236,1.81816,0.01816,0.70808,0.52836,0.60049,0.32898,1.72607,1.72626,0.02693,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2536.31,1.62717,1.72555,0.01734,0.72535,0.51023,0.58584,0.33286,1.71626,1.72616,0.02673,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2838.32,1.61846,1.66371,0.01685,0.74208,0.57682,0.65052,0.38173,1.66218,1.50144,0.02603,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3069.72,1.60041,1.5823,0.01671,0.72218,0.55721,0.61877,0.34973,1.71002,1.61648,0.02702,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3303.23,1.56884,1.5631,0.01669,0.76024,0.57787,0.65564,0.38713,1.63143,1.46958,0.02437,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
