epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,270.007,1.45125,4.19838,0.01357,0.54896,0.43947,0.45162,0.24739,1.60891,2.34045,0.02178,0.00995868,0.00331956,0.00995868,0.00331956,0.00995868,0.00331956,0.00995868,0.00331956
2,517.694,1.5031,2.15656,0.01517,0.53455,0.4419,0.42138,0.22847,1.69958,2.19269,0.02498,0.0197611,0.00658703,0.0197611,0.00658703,0.0197611,0.00658703,0.0197611,0.00658703
3,725.971,1.58972,2.00285,0.0166,0.41092,0.37843,0.31229,0.14609,2.05218,3.07165,0.03327,0.0293655,0.0097885,0.0293655,0.0097885,0.0293655,0.0097885,0.0293655,0.0097885
4,936.97,1.73245,2.06565,0.01886,0.59113,0.44181,0.45341,0.20981,2.03884,2.27081,0.03275,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1145.49,1.70971,1.9932,0.01829,0.61511,0.44641,0.48232,0.23172,1.99877,2.24775,0.03163,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1350.64,1.68028,1.9018,0.01799,0.63108,0.47242,0.52445,0.28332,1.82607,1.96628,0.02799,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1511.13,1.63737,1.77173,0.01704,0.71597,0.49532,0.56662,0.31544,1.80823,1.9673,0.02773,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1700.04,1.64145,1.73977,0.017,0.70335,0.51405,0.58225,0.3223,1.79193,1.84866,0.02673,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1909.22,1.62654,1.70311,0.01673,0.68034,0.52192,0.57797,0.33372,1.74694,1.8356,0.02659,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2117.57,1.594,1.6398,0.01656,0.71431,0.51862,0.58496,0.33165,1.81278,1.80069,0.02654,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2326.52,1.58807,1.6179,0.01634,0.72912,0.5078,0.5939,0.32618,1.79162,1.77265,0.02608,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2534.02,1.56179,1.58049,0.01594,0.70302,0.52862,0.58254,0.33564,1.76484,1.8306,0.02822,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2741.07,1.55636,1.53785,0.01574,0.75026,0.54006,0.62482,0.37642,1.68001,1.60681,0.02437,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2948.16,1.54277,1.49118,0.01569,0.77453,0.56122,0.64877,0.38904,1.67627,1.54349,0.02437,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3151.48,1.53698,1.4853,0.01553,0.76014,0.59036,0.67046,0.39575,1.68378,1.47085,0.02487,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3362.08,1.52388,1.45,0.01528,0.75568,0.58065,0.66569,0.39407,1.64685,1.51376,0.02349,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3573.15,1.5123,1.44203,0.01538,0.7834,0.59625,0.68407,0.41352,1.63041,1.4111,0.02438,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3750.61,1.48359,1.42896,0.0149,0.7963,0.58446,0.6864,0.41899,1.62964,1.39832,0.02308,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3930.51,1.49115,1.36838,0.01461,0.76174,0.61256,0.69239,0.41893,1.63775,1.3821,0.02412,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4139.84,1.47972,1.34794,0.01486,0.78382,0.58932,0.68397,0.41159,1.66486,1.44441,0.02434,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4348.48,1.46728,1.35046,0.01462,0.82937,0.58336,0.68718,0.42296,1.63418,1.42192,0.02322,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4557.41,1.46881,1.34431,0.01441,0.78281,0.63406,0.70788,0.43617,1.59435,1.35895,0.02269,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4771.39,1.44299,1.29925,0.01424,0.78887,0.63337,0.71914,0.44451,1.57402,1.29356,0.02179,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4979.78,1.45827,1.32131,0.01435,0.78105,0.641,0.71697,0.45228,1.54945,1.29652,0.02177,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5178.93,1.43893,1.29991,0.01387,0.77702,0.63025,0.70876,0.44339,1.56508,1.33812,0.0217,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5382.67,1.43932,1.27596,0.01416,0.80916,0.63129,0.71579,0.45638,1.55462,1.334,0.02178,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5591.33,1.43094,1.24574,0.01386,0.78737,0.64932,0.72025,0.44484,1.58186,1.3384,0.02331,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5793.03,1.42998,1.25515,0.01398,0.77681,0.6573,0.7258,0.45913,1.56694,1.30755,0.02267,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5933.08,1.41632,1.23477,0.01413,0.7872,0.63961,0.72508,0.45815,1.54864,1.31282,0.0218,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6080.75,1.41403,1.21704,0.01371,0.81797,0.64377,0.72836,0.46302,1.54286,1.28297,0.02173,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6232.99,1.39004,1.18384,0.01345,0.788,0.65904,0.72696,0.4618,1.54785,1.27466,0.02152,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6383.89,1.387,1.1668,0.01367,0.82798,0.65002,0.74025,0.47365,1.50837,1.25441,0.02111,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6531.38,1.384,1.17538,0.01335,0.80584,0.65314,0.74288,0.47104,1.51933,1.21838,0.02075,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6677.8,1.37611,1.14756,0.01331,0.82113,0.65921,0.74382,0.47934,1.52234,1.21256,0.02081,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6825.76,1.36573,1.12453,0.01317,0.78013,0.68304,0.74847,0.48893,1.48579,1.21305,0.02041,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6995.42,1.38181,1.15026,0.01328,0.80929,0.68297,0.75426,0.48524,1.50087,1.15146,0.02067,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7138.23,1.35083,1.12163,0.01315,0.84133,0.66112,0.75618,0.48554,1.50884,1.19229,0.02075,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7288.34,1.35482,1.11481,0.01298,0.84386,0.65487,0.7584,0.49334,1.48203,1.17353,0.02006,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7437.9,1.34741,1.09294,0.01301,0.80775,0.68644,0.7594,0.49333,1.4951,1.16325,0.0206,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7584.1,1.35312,1.09977,0.01293,0.84453,0.67454,0.76499,0.49948,1.47703,1.14273,0.01993,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7729.14,1.33539,1.06126,0.01272,0.83746,0.67554,0.76216,0.49655,1.49371,1.14538,0.02008,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7876.68,1.33558,1.07711,0.01263,0.841,0.67569,0.75688,0.49828,1.48244,1.15194,0.02016,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8012.77,1.33621,1.0557,0.01259,0.83309,0.6821,0.76542,0.49983,1.50314,1.11664,0.02029,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8145.97,1.32207,1.05013,0.0126,0.83281,0.6906,0.76868,0.49788,1.49368,1.12057,0.02064,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8279.62,1.32567,1.06403,0.01249,0.84695,0.67742,0.76414,0.50159,1.4795,1.16463,0.0202,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8410.91,1.31071,1.04249,0.01229,0.84572,0.67881,0.77393,0.50721,1.47181,1.1129,0.02009,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8555.92,1.29205,1.00163,0.01232,0.84874,0.69095,0.77769,0.5099,1.45937,1.10804,0.01996,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8708,1.30679,1.00879,0.01232,0.85244,0.68644,0.78093,0.50829,1.47543,1.13049,0.02029,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8842.01,1.30506,0.99663,0.01215,0.86332,0.6847,0.77233,0.51151,1.46205,1.10501,0.01993,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8989.33,1.29398,0.99287,0.01212,0.83985,0.69615,0.77692,0.51501,1.4594,1.07851,0.01956,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9224.16,1.28817,0.98323,0.01206,0.85602,0.68053,0.7687,0.50631,1.49637,1.11545,0.02051,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9371.42,1.27347,0.97138,0.0121,0.87517,0.67606,0.77797,0.51078,1.4523,1.11245,0.0196,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9514.82,1.26307,0.95692,0.01178,0.84884,0.69729,0.77814,0.51635,1.46537,1.0911,0.01994,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9645.55,1.26934,0.97203,0.01177,0.84182,0.69961,0.77812,0.51878,1.45196,1.12131,0.01978,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9783.7,1.25496,0.91847,0.01162,0.85255,0.70378,0.78297,0.51806,1.47424,1.07338,0.02005,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9979.43,1.25707,0.93532,0.01163,0.85012,0.70239,0.78133,0.51933,1.46142,1.07591,0.01985,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10184.7,1.24401,0.90958,0.01172,0.85122,0.70586,0.78191,0.52108,1.45935,1.06544,0.01978,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10339.6,1.23175,0.90332,0.01149,0.85351,0.69684,0.77934,0.51812,1.47514,1.07415,0.01999,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10472.9,1.23602,0.9103,0.01141,0.85942,0.70482,0.78269,0.51759,1.47411,1.06808,0.01988,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10605.2,1.21952,0.89954,0.0114,0.86805,0.68713,0.78653,0.52715,1.45501,1.07382,0.01961,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10736.1,1.23814,0.86672,0.0114,0.84771,0.71247,0.78575,0.52252,1.45762,1.06801,0.01954,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10872.7,1.218,0.87305,0.01111,0.85155,0.71231,0.78878,0.52449,1.44208,1.07649,0.01941,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
