epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,132.419,1.16087,0.78521,0.01034,0.84718,0.71696,0.78532,0.53064,1.43606,1.08563,0.01925,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,310.2,1.15605,0.79838,0.01051,0.85948,0.70647,0.78117,0.52553,1.4358,1.10947,0.01921,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,525.958,1.1538,0.79925,0.01043,0.8569,0.7062,0.78323,0.52771,1.44808,1.09336,0.01948,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,730.09,1.14584,0.78884,0.01034,0.84309,0.72182,0.7849,0.52562,1.44988,1.09538,0.01959,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,938.294,1.13926,0.78372,0.01011,0.85999,0.71158,0.78594,0.52564,1.44567,1.08082,0.01945,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1149.64,1.14074,0.78175,0.01029,0.85813,0.71904,0.78519,0.52807,1.43966,1.08608,0.0193,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1356.57,1.12354,0.75333,0.00994,0.876,0.70552,0.78648,0.52693,1.44199,1.08547,0.01929,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1565.65,1.12619,0.75815,0.00999,0.87712,0.7076,0.78505,0.52475,1.45258,1.09324,0.01944,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1775.08,1.12207,0.7442,0.00987,0.85499,0.72599,0.78506,0.52614,1.45724,1.09854,0.0195,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1972.98,1.10437,0.73029,0.00997,0.85189,0.72147,0.78453,0.52659,1.4524,1.11486,0.01949,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2168,1.11623,0.73795,0.00995,0.87721,0.71245,0.78679,0.52909,1.44561,1.11632,0.01936,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2353.01,1.09832,0.7237,0.00976,0.87926,0.71002,0.78564,0.52875,1.44631,1.11532,0.0194,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2546.35,1.10226,0.72501,0.00975,0.85294,0.72563,0.78591,0.53017,1.44131,1.1249,0.01931,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2746.28,1.08657,0.71661,0.00968,0.86531,0.71754,0.78462,0.5295,1.45251,1.11243,0.01945,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2877.87,1.08757,0.70931,0.00957,0.88201,0.70725,0.78593,0.52804,1.45428,1.11343,0.01944,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3007.07,1.08644,0.69981,0.00955,0.87755,0.71094,0.78535,0.52785,1.45481,1.11762,0.01941,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
