epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.8267,1.66229,3.53548,0.01318,0.45454,0.32992,0.33057,0.16507,1.71208,2.58547,0.01898,0.00995434,0.00331811,0.00995434,0.00331811,0.0767732,0.070137,0.00995434,0.00331811
2,201.307,1.68277,2.39092,0.01379,0.58238,0.38963,0.42264,0.22969,1.82291,2.42705,0.0212,0.0197568,0.0065856,0.0197568,0.0065856,0.0532423,0.0400711,0.0197568,0.0065856
3,267.482,1.74902,2.23451,0.01489,0.56923,0.3842,0.41352,0.18634,2.01284,2.90248,0.02539,0.0293612,0.00978708,0.0293612,0.00978708,0.0295134,0.00993929,0.0293612,0.00978708
4,332.227,1.81999,2.25818,0.01578,0.56935,0.42039,0.44646,0.22312,2.03575,2.60892,0.02619,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,405.51,1.84549,2.16428,0.01597,0.55123,0.3468,0.3772,0.191,2.02346,2.78038,0.02642,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,578.829,1.80949,2.09118,0.01586,0.62905,0.43185,0.4887,0.26703,1.93316,2.28891,0.02345,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,646.871,1.8079,2.02543,0.01571,0.66215,0.45356,0.51624,0.28403,1.94621,2.34256,0.0246,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,711.367,1.79532,1.98446,0.01569,0.6212,0.45597,0.50461,0.28323,1.91411,2.28525,0.02385,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,775.477,1.76791,1.89256,0.01518,0.68209,0.47492,0.52996,0.28932,1.96071,2.1637,0.02458,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,891.855,1.75893,1.87472,0.01515,0.6495,0.49578,0.54157,0.29693,1.93798,2.05813,0.02355,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1059.2,1.73264,1.82544,0.01468,0.69326,0.47105,0.54359,0.30401,1.89116,2.15312,0.02372,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
