epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.096,1.67249,3.78307,0.01304,0.68243,0.24065,0.34795,0.1771,1.72768,2.79284,0.01964,0.00990909,0.00330303,0.00990909,0.00330303,0.0768788,0.0702727,0.00990909,0.00330303
2,168.279,1.6601,2.35689,0.01335,0.58251,0.37998,0.4092,0.20736,1.84869,2.45322,0.02207,0.019712,0.00657066,0.019712,0.00657066,0.0533484,0.040207,0.019712,0.00657066
3,228.69,1.70387,2.20674,0.01408,0.54428,0.35826,0.37555,0.18932,2.10625,2.66003,0.02727,0.0293169,0.0097723,0.0293169,0.0097723,0.0296199,0.0100753,0.0293169,0.0097723
4,289.792,1.79933,2.24994,0.01569,0.47915,0.30519,0.31397,0.14059,2.24283,2.88496,0.03126,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,351.103,1.83893,2.14651,0.01585,0.48916,0.31182,0.32119,0.16283,2.22036,3.133,0.03163,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,413.354,1.82352,2.09281,0.01571,0.52571,0.39505,0.41337,0.21499,2.05932,2.75532,0.02779,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,473.191,1.80105,2.01828,0.01549,0.51864,0.35806,0.34001,0.17886,2.25995,3.50286,0.03302,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,533.565,1.78138,1.90324,0.01522,0.63257,0.45718,0.50193,0.26299,2.11384,2.26764,0.02902,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,593.758,1.75571,1.88037,0.01496,0.64818,0.45718,0.51129,0.27762,2.00584,2.24893,0.02623,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,653.059,1.70677,1.77488,0.01438,0.61379,0.47736,0.5135,0.28451,1.95532,2.21685,0.02543,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,712.223,1.7054,1.79082,0.01421,0.66467,0.44511,0.51019,0.2796,2.04655,2.2416,0.02659,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,772.459,1.68837,1.70112,0.01439,0.71096,0.48372,0.54845,0.3187,1.94347,2.20051,0.02484,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,831.959,1.69944,1.69382,0.01425,0.66734,0.49638,0.55811,0.30334,2.00435,2.04158,0.02604,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,891.53,1.68267,1.64507,0.0139,0.6881,0.49897,0.56986,0.32175,1.91058,2.08171,0.02429,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,973.483,1.67605,1.65293,0.01378,0.73971,0.51267,0.58956,0.33559,1.93883,1.94029,0.02481,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1044.53,1.6495,1.62227,0.01368,0.71187,0.47088,0.54905,0.31913,1.98808,2.07632,0.02524,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1111.68,1.65893,1.5647,0.01369,0.69798,0.53246,0.5957,0.3488,1.89914,1.90393,0.02402,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1199.31,1.60883,1.49979,0.01304,0.67149,0.51568,0.57823,0.3352,1.89781,1.97494,0.02427,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1272.82,1.64721,1.50794,0.01324,0.72788,0.54825,0.61009,0.34673,1.95501,1.84309,0.02488,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
